     O     3.0204384556   -8.2219602263   -5.6694835284
     H     3.0313713565   -7.6368779624   -4.8641107614
     H     3.0697154737   -7.5680651844   -6.4205141783
     O     6.0861611013   -7.3503799316   -7.7078516212
     H     6.6263544038   -6.7185105156   -7.1600097674
     H     5.9778006945   -8.1338600314   -7.1008503784
     O     3.7034928933   -6.3468778667   -7.5800203136
     H     3.3248066173   -6.2560309137   -8.4758693510
     H     4.6565330315   -6.7395082735   -7.7170257102
     O     7.0473069148   -5.8182578903   -1.9789076938
     H     7.5435222892   -6.1780495618   -1.2188176802
     H     6.8359221402   -6.6073799651   -2.5697337706
     O     6.1271112126   -7.4745804988   -3.7902167287
     H     6.0402847417   -8.3006118081   -4.3447684856
     H     5.1734502344   -7.1094444790   -3.7565333443
     O     7.7843792074   -3.9442295996   -3.9220355168
     H     6.9423247950   -3.4207970317   -3.8706567596
     H     7.7038282665   -4.5443979390   -3.1357172399
     O     4.4439379329   -4.7519683707   -1.8265975610
     H     5.3597747623   -5.1128434860   -1.6977136543
     H     4.6123942739   -3.9590711251   -2.3992508471
     O     6.9484714054   -5.7228959903   -5.6919131374
     H     7.4405245433   -5.0159101235   -5.1491611174
     H     6.7243683150   -6.4120714349   -4.9949744636
     O     4.5566921859   -4.6210526802   -5.7193673280
     H     5.4990750922   -5.0110353811   -5.7800708052
     H     4.0933356750   -5.0087075654   -6.5146824443
     O     5.4274242425   -9.1724412826   -5.7385580407
     H     4.4328641737   -8.8710284967   -5.7042269986
     H     5.4044882412  -10.1452726825   -5.8240584739
     O     5.1612185231   -2.9218053543   -3.8189628537
     H     4.9279487012   -1.9806271007   -3.9339694632
     H     4.7971363531   -3.3982877558   -4.6295116288
     O     3.7405402274   -6.3605117022   -3.8051076806
     H     3.8205991407   -5.8084320814   -2.9535647292
     H     3.9582039278   -5.6864454965   -4.5187910697

     O     5.4254376102    1.3267645725   -1.4506937834
     H     5.4546061281    1.6022166329   -0.4902904519
     H     4.6150089335    0.7560818647   -1.4695089248
     O     2.5807730222    1.5484289354   -3.7489552642
     H     3.1574413103    2.3106044277   -3.4698577485
     H     1.6619372775    1.8893200622   -3.5934591504
     O     2.7148729738    0.3785708926   -1.3925764477
     H     2.4101738448    1.2417886984   -0.9720973940
     H     2.7050928246    0.6490122800   -2.3812681160
     O     4.9302802573    2.1074126922    1.1124592930
     H     4.3700251249    1.2440948144    1.2431031888
     H     5.6104797875    2.0788061421    1.8128649046
     O     3.5700911894    4.2202438755    0.0001396890
     H     3.9078179701    4.1137197195   -0.9314431717
     H     4.1224859336    3.5708493911    0.5164540048
     O    -0.0449667057   -0.0473544967   -1.2122799658
     H     0.9432855532   -0.1623421734   -1.3006393377
     H    -0.2054939994    0.7015780424   -1.8483556770
     O     1.5866514644    2.6651913270   -0.4817612143
     H     1.0397381152    2.3755203811    0.2962402035
     H     2.2986891302    3.3643943424   -0.2030621118
     O     0.1621275787    2.3173707716   -2.6289970186
     H     0.6761984572    2.6453798294   -1.8134293111
     H    -0.4616502332    3.0286628877   -2.8695068940
     O    -0.0890527746    1.1964222718    1.0566961532
     H    -1.0035309654    1.4455480927    1.2936645468
     H    -0.1589842452    0.6555226883    0.1724289608
     O     4.3094829871    3.3951639874   -2.5446335083
     H     4.8387097071    2.5956679464   -2.1569305086
     H     4.9516316095    3.8658985993   -3.1119093544
     O     1.3909133992   -0.4813716804    2.5714748390
     H     1.0388005046   -1.3554585911    2.3102318478
     H     0.7753642825    0.1634732755    2.1160641796
     O     3.6749390265   -0.1356505499    1.1835899007
     H     2.8504645889   -0.2687114468    1.7453464423
     H     3.3670897394   -0.2405511127    0.2511781048

     O     1.7685953433    1.4697860954    0.6035204675
     H     2.1313777892    0.5623561213    0.6076497804
     H     0.8807067218    1.4536918766    1.3110980708
     O    -1.3559747133    3.1585369703   -2.1446858608
     H    -0.3689314232    3.0593820436   -2.1234377926
     H    -1.4965869235    4.1414177783   -2.1266187473
     O    -1.4045797204    3.1841340267    0.4956415120
     H    -0.6351233026    3.8236668587    0.4611095812
     H    -1.5340501087    3.0033466078   -0.4983811895
     O     3.0299112281    3.4969278868    1.7014530811
     H     2.6512082057    2.6359624082    1.3111556506
     H     3.8113378938    3.2270584948    2.2223156147
     O     2.8155482883    4.8676643699   -0.6673821210
     H     2.4729147938    4.1012683288   -1.2004745818
     H     3.1247690316    4.4315305115    0.1707846625
     O    -2.7733565716    5.4623556816    1.1036917867
     H    -2.5205928040    4.5029714905    0.9679729383
     H    -2.5856395052    5.8179706865    0.1957469182
     O     0.3678522325    5.2525543267    0.1540677918
     H     0.2659489910    5.7238671187    1.0267634791
     H     1.3525772995    5.2123057915   -0.1213459444
     O    -1.6119842416    5.8611862914   -1.4269992377
     H    -0.7519489380    5.7498636373   -0.8946644787
     H    -1.4841782212    6.6575029202   -1.9775921104
     O    -0.6366445559    5.9951994997    2.4906023888
     H    -0.7262540970    6.8167375890    3.0098705658
     H    -1.5479415140    5.8474682500    2.0207077576
     O     1.4212778968    2.7026418559   -1.7279903929
     H     1.4830609045    2.1561600450   -0.8729249848
     H     1.7941865087    2.1202556580   -2.4190212330
     O     0.7584190637    3.7397254284    3.3694463777
     H     0.2081071093    4.5395331617    3.1564432699
     H     1.5822595757    3.8505636486    2.8303157371
     O    -0.1435048105    1.5647700785    2.1521737180
     H     0.1436964667    2.3404460795    2.7484044626
     H    -0.8020728561    2.0268950006    1.5418525829

     O     7.4286669990    1.8077969712   -5.8814718561
     H     7.0748234795    1.9085748548   -4.9576553596
     H     8.3815661662    2.0965750024   -5.8134358370
     O    10.4906903580   -0.3883817900   -5.6187498918
     H    10.4903531513   -0.5935570599   -4.6399159943
     H     9.5791209517   -0.6855300205   -5.8945732186
     O    10.1309309041    2.1517405601   -5.5404869992
     H    10.7147558610    2.6011433248   -6.1822019403
     H    10.3442175237    1.1279793613   -5.6303959284
     O     6.5235910742    1.7051421474   -3.2611654338
     H     7.0948775280    2.1640369629   -2.5593069958
     H     5.5981752099    1.9084267284   -3.0234215712
     O     7.3943535601   -0.9472874279   -3.2649334332
     H     7.4195304830   -1.0637404933   -4.2535724728
     H     6.9739390175   -0.0533563922   -3.1678332258
     O    10.8249762265   -0.6641912589   -0.4618789576
     H    10.9127009205   -1.4012378397    0.1721427993
     H    10.2072793829    0.0195793541   -0.0110168067
     O     9.6091897306    1.4079808270    0.5664824809
     H    10.4711256579    1.8477434926    0.2970376798
     H     8.9613762784    1.8068938833   -0.0681058989
     O     9.9611943895   -0.4764679889   -2.9642246838
     H    10.2960856120   -0.7734537930   -2.0663539581
     H     8.9610318835   -0.6918189964   -2.9974387890
     O    10.3269943378    2.1074887474   -2.8650044466
     H    10.1799651851    1.0908159869   -2.8826016774
     H    10.3611896996    2.3293025551   -3.8427044954
     O     7.8047900250   -0.7549701148   -5.9742033933
     H     7.5949232366    0.2577881943   -6.0101682338
     H     7.3158795626   -1.1553619865   -6.7187685679
     O    11.9857451276    1.9614282742   -0.6333276929
     H    12.0224856238    0.9755625029   -0.6186521229
     H    11.5902516110    2.1383601521   -1.5268533977
     O     8.2340064604    2.7319861063   -1.5361175841
     H     8.2458412021    3.6867219703   -1.3255331958
     H     9.0892211234    2.5685181420   -2.1077953405

     O    -0.4492328580    0.4271525394    3.5055150949
     H    -0.3563832480   -0.2537217442    4.1998305251
     H    -1.2003204794    0.0771322255    2.8757651455
     O     1.7580648456    0.3946010121   -0.5027633296
     H     1.8974137246    0.7929442930    0.4102169519
     H     1.7306547095    1.1758729998   -1.1079394064
     O    -0.7954946075    0.6257132874   -0.1286555348
     H    -0.6199506543    1.5385782664    0.2314209450
     H     0.1744182286    0.3248923024   -0.3143887092
     O    -1.4667390326    2.9073442733    3.8071129360
     H    -1.1247856704    1.9674472464    3.8841222100
     H    -2.1677305809    2.8268617788    3.1072955897
     O     0.6059392589    3.8721348955    2.6406428201
